nombre,referencia,precio_mxn,unidad,tipo
Equipo de Grabación,,0.00,Unidades,interno/sin precio
Estrategia de PR y Kits,,18687.96,Actividad,servicio
Estrategia de Posicionamiento Digital,,20182.50,Horas,servicio
Estrategia para Redes Sociales,,18687.96,Actividad,servicio
Features,,0.00,Unidades,interno/sin precio
Film Editing,PRO-03,14352.00,Horas,servicio
Gastos,EXP_GEN,1.00,Unidades,interno/sin precio
Guía de campañas E-Mail Marketing,,15573.30,Actividad,servicio
Iconografía,,9352.88,Actividad,servicio
Identidad Básica para Web,,15535.50,Actividad,servicio
Identidad de Marca,,30396.86,Actividad,servicio
Identidad de Marca para Evento,,21043.98,Actividad,servicio
Illustrations,,38272.00,Actividad,servicio
Ilustraciones,,9352.88,Actividad,servicio
Investigación Primaria: Focus Group,,23359.95,Actividad,servicio
Investigación Primaria: Survey,,15573.30,Actividad,servicio
Investigación de Mercado,,15624.00,Actividad,servicio
Junta Quincenal,,956.80,Actividad,servicio
Logotipo,,18705.76,Actividad,servicio
Loom Business,,1.00,Unidades,interno/sin precio
Manual de Franquiciatarios,,12499.20,Actividad,servicio
Manual de Identidad,,28058.64,Actividad,servicio
Mapeo de Customer Journey,,18687.96,Actividad,servicio
Moodboard,,4784.00,Horas,servicio
Naming,,20245.29,Actividad,servicio
Newsletter,,4320.64,Actividad,servicio
Oficina - Limpieza,OFI LIMP,1.00,Unidades,interno/sin precio
Paid Media - Meta Ads,,36455.40,Actividad,servicio
Paid Media Arts,,0.00,Actividad,interno/sin precio
Paid Media Arts,,2870.40,Horas,servicio
Partners [Boost],,47840.00,Unidad de servicio,servicio
Partners [Inicial],PAR-02,14352.00,Actividad,servicio
Partners [Transformación],,28704.00,Unidad de servicio,servicio
Positioning & Messaging Playbook,,21802.62,Actividad,servicio
Post,,1169.11,Actividad,servicio
Post Producción (20 Fotos),,7176.00,Horas,servicio
Post Producción (50 Fotos),,14352.00,Horas,servicio
Post Production,,0.00,Unidades,interno/sin precio
Pre Producción,PRO-01.1,23322.00,Unidades,servicio
Pre Producción,PRO-01,23322.00,Actividad,servicio
Pre Producción (Mensual),,5382.00,Actividad,servicio
Presentación (20-35),,19874.87,Actividad,servicio
Principios Rectores de Marca,,6458.40,Actividad,servicio
Producción,PRO-02,3588.00,Horas,servicio
Producción - Sesión Fotográfica (1 Hora),,897.00,Horas,servicio
Producción Mensual de Contenido,,14352.00,Actividad,servicio
Project Management,,5382.00,Actividad,servicio
Proyecto Branding,DES-00,38272.00,Actividad,servicio
Proyecto Design,DES-04,5740.80,Actividad,servicio
Proyecto Otro,,0.00,Unidades,interno/sin precio
Proyecto Partners,PAR-01,0.00,Actividad,interno/sin precio
Proyecto Producción,PRO-01,1.00,Actividad,interno/sin precio
Proyecto Web,WEB-01,1.00,Actividad,interno/sin precio
RONDA DE REVISIÓN,,1169.12,Actividad,servicio
RONDA DE REVISIÓN Presencial,,1169.12,Actividad,servicio
Reel,,2338.22,Actividad,servicio
Regalo de Navidad,,11691.10,Actividad,servicio
Ronda de Revisión - Diseño,,2071.40,Actividad,servicio
Ronda de Revisión - Estrategia,,1557.33,Actividad,servicio
Ronda de Revisión - Producción,,1021.58,Actividad,servicio
Rotulado de camión,,5504.00,Unidades,servicio
Script Design,,6129.48,Actividad,servicio
Servicio en la hoja de horas,,40.00,Actividad,interno/sin precio
Social Media Start Kit,,9352.88,Actividad,servicio
Story,,1169.11,Actividad,servicio
Suscripciones - AI,,1.00,Unidades,interno/sin precio
Transporte - Gasolina,TRANS GAS,1.00,Unidades,interno/sin precio
Transporte - Uber,TRANS UB,1.00,Unidades,interno/sin precio
Video - Ajuste de dimensiones,,3588.00,Actividad,servicio
Video Comercial - Motion Graphics,,30647.40,Actividad,servicio
Video Reel (15-30 Segundos),,8172.64,Actividad,servicio
Video Reel (30-60 segundos),,12258.96,Actividad,servicio
Web Project,WEB-02,0.00,Actividad,interno/sin precio
Wireframe,,6214.20,Actividad,servicio
Workshop de Alineación,,12470.40,Actividad,servicio
vodep,,3800.00,Actividad,interno/sin precio
